tavg,tmin,tmax,prcp,snow,wspd,pres
26.2,21.0,34.0,,0.0,,
17.8,16.0,22.0,,0.0,,
25.0,20.0,33.0,,0.0,,
17.9,13.0,23.0,,0.0,,
25.8,21.0,33.0,,0.0,,
24.7,19.0,34.0,,0.0,,
20.4,14.0,30.0,,0.0,,
21.0,15.0,28.0,,0.0,,
23.2,15.0,32.0,,0.0,,
23.0,16.0,32.0,,0.0,,
20.7,15.0,29.0,,0.0,,
22.7,19.0,31.0,,0.0,,
23.5,17.0,32.0,,0.0,,
21.7,17.0,30.0,,0.0,,
24.5,17.0,36.0,,0.0,,
24.5,18.0,33.0,,0.0,,
22.0,17.0,30.0,,0.0,,
20.2,17.0,27.0,,0.0,,
20.0,15.0,27.0,,0.0,,
21.7,17.0,30.0,,0.0,,
23.4,15.0,32.0,,0.0,,
18.0,15.0,23.0,,0.0,,
20.5,15.0,28.0,,0.0,,
24.2,19.0,28.0,,0.0,,
19.9,17.0,27.0,,0.0,,
21.8,15.0,31.0,,0.0,,
18.3,16.0,24.0,,0.0,,
18.8,16.0,25.0,,0.0,,
22.3,18.0,30.0,,0.0,,
20.8,16.0,30.0,,0.0,,
19.8,16.0,26.0,,0.0,,
19.1,15.0,25.0,,0.0,,
20.1,16.0,27.0,,0.0,,
21.3,16.0,30.0,,0.0,,
23.7,17.0,33.0,,0.0,,
23.7,17.0,33.0,,0.0,,
19.7,16.0,28.0,,0.0,,
19.0,15.0,28.0,,0.0,,
20.5,15.0,31.0,,0.0,,
21.9,14.0,32.0,,0.0,,
22.1,16.0,31.0,,0.0,,
19.4,14.0,27.0,,0.0,,
19.1,16.0,27.0,,0.0,,
19.2,16.0,26.0,,0.0,,
21.9,15.0,32.0,,0.0,,
19.8,15.0,29.0,,0.0,,
21.6,14.0,30.0,,0.0,,
28.6,23.0,39.0,,0.0,,
27.7,22.0,37.0,,0.0,,
26.0,20.0,35.0,,0.0,,
26.7,20.0,36.0,,0.0,,
25.7,20.0,36.0,,0.0,,
23.5,20.0,31.0,,0.0,,
19.8,13.0,27.0,,0.0,,
19.3,16.0,24.0,,0.0,,
17.9,14.0,24.0,,0.0,,
19.5,16.0,24.0,,0.0,,
18.8,14.0,26.0,,0.0,,
24.6,14.0,36.0,,0.0,,
26.2,18.0,37.0,,0.0,,
25.3,19.0,33.0,,0.0,,
25.5,19.0,36.0,,0.0,,
24.9,19.0,35.0,,0.0,,
22.5,17.0,31.0,,0.0,,
20.9,16.0,29.0,,0.0,,
22.0,17.0,30.0,,0.0,,
18.3,16.0,25.0,,0.0,,
18.1,15.0,24.0,,0.0,,
18.4,16.0,23.0,,0.0,,
18.0,15.0,23.0,,0.0,,
17.9,16.0,22.0,,0.0,,
16.3,14.0,18.0,,0.0,,
15.7,12.0,21.0,,0.0,,
16.3,9.0,26.0,,0.0,,
21.8,15.0,31.0,,0.0,,
19.3,13.0,28.0,,0.0,,
19.5,14.0,29.0,,0.0,,
19.5,14.0,29.0,,0.0,,
