tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
17.4,15.5,21.9,0.0,,,,,,
17.2,14.2,22.1,0.0,,,,,,
15.9,13.5,18.7,12.2,,,,,,
17.5,13.9,21.5,5.7,,,,,,
17.0,13.0,20.1,0.0,,,,,,
18.1,12.8,23.8,0.0,,,,,,
20.0,15.0,25.2,0.0,,,,,,
22.5,18.3,27.9,0.0,,,,,,
22.4,18.6,25.7,0.0,,,,,,
17.4,12.8,22.0,0.0,,,,,,
15.7,13.9,20.7,0.0,,,,,,
16.1,13.7,21.8,0.0,,,,,,
18.6,13.0,23.9,0.0,,,,,,
24.5,17.9,30.2,0.0,,,,,,
26.2,20.6,30.5,0.0,,,,,,
24.8,21.2,29.3,0.0,,,,,,
22.0,20.0,25.0,0.0,,,,,,
22.1,18.5,26.1,0.0,,,,,,
22.9,17.4,27.8,0.0,,,,,,
21.6,17.6,26.5,0.0,,,,,,
20.7,18.1,23.7,0.0,,,,,,
20.2,18.6,22.4,0.0,,,,,,
20.3,17.2,24.0,0.0,,,,,,
21.0,19.4,23.8,0.0,,,,,,
20.6,17.9,23.6,0.0,,,,,,
19.9,17.0,25.8,17.2,,,,,,
18.0,14.5,21.4,0.0,,,,,,
19.0,18.1,24.2,11.3,,,,,,
20.8,16.6,25.2,0.3,,,,,,
18.3,16.9,20.9,11.5,,,,,,
18.9,16.6,22.2,0.0,,,,,,
19.8,17.2,22.7,11.9,,,,,,
23.2,18.1,28.5,0.0,,,,,,
22.5,20.6,25.5,1.0,,,,,,
18.9,16.8,22.6,0.6,,,,,,
19.6,17.0,23.4,0.1,,,,,,
20.0,17.9,23.3,0.0,,,,,,
19.2,18.6,20.0,3.3,,,,,,
19.9,18.0,22.9,5.8,,,,,,
20.8,17.0,23.8,0.0,,,,,,
21.9,19.1,25.8,0.0,,,,,,
19.5,18.0,21.5,0.9,,,,,,
19.3,17.6,21.6,0.9,,,,,,
19.8,17.9,23.5,28.3,,,,,,
23.1,17.9,27.7,0.3,,,,,,
20.9,18.8,25.9,11.3,,,,,,
23.1,18.7,27.4,0.0,,,,,,
22.0,19.4,24.4,0.0,,,,,,
21.6,18.4,24.9,0.0,,,,,,
22.0,19.0,25.1,0.0,,,,,,
21.7,19.1,25.6,14.2,,,,,,
19.6,18.6,20.6,3.8,,,,,,
20.3,18.0,23.3,0.0,,,,,,
20.8,17.1,24.4,0.0,,,,,,
19.9,18.8,21.5,0.0,,,,,,
21.0,17.6,25.0,0.0,,,,,,
20.4,19.4,21.5,13.3,,,,,,
20.3,18.1,24.6,0.7,,,,,,
21.0,19.1,23.8,2.1,,,,,,
20.7,19.3,21.8,8.4,,,,,,
23.4,19.9,27.0,3.3,,281.0,20.1,,,
21.1,19.5,23.5,4.7,,,,,,
22.2,19.0,25.0,37.1,,,,,,
23.2,21.1,25.3,0.0,,,,,,
22.9,21.0,26.5,0.0,,,,,,
21.9,20.5,24.2,3.0,,,,,,
24.1,21.1,28.1,0.0,,,,,,
25.3,21.7,28.6,0.0,,,,,,
24.0,20.6,27.5,47.3,,,,,,
23.5,21.1,27.7,11.3,,,,,,
23.4,22.1,26.4,0.0,,,,,,
23.0,21.9,26.5,1.6,,,,,,
25.4,22.7,28.0,0.1,,,,,,
25.4,24.1,27.2,0.0,,,,,,
24.5,23.5,27.1,9.7,,,,,,
24.3,22.4,26.7,20.7,,,,,,
25.5,22.8,28.5,0.0,,,,,,
25.2,23.4,28.4,0.0,,,,,,
26.0,24.6,29.6,0.0,,,,,,
25.3,24.2,26.3,0.4,,,,,,
25.7,24.1,26.8,0.0,,,,,,
25.1,23.9,26.2,5.0,,,,,,
24.7,20.4,28.7,35.0,,,,,,
25.3,21.6,28.6,0.0,,,,,,
24.6,21.8,27.4,0.0,,,,,,
25.6,23.6,27.6,0.0,,,,,,
23.0,21.2,26.1,133.8,,,,,,
23.3,20.8,25.9,1.2,,,,,,
23.9,22.1,27.1,4.4,,,,,,
24.4,22.2,27.8,0.0,,,,,,
26.1,22.7,29.6,0.0,,,,,,
25.3,21.9,29.1,0.0,,,,,,
25.7,23.4,28.9,0.0,,,,,,
25.7,24.0,28.1,0.0,,,,,,
25.5,23.3,28.8,0.0,,,,,,
23.8,20.9,28.6,0.0,,,,,,
22.5,19.7,26.4,0.0,,,,,,
19.7,17.0,22.5,0.0,,,,,,
20.4,16.5,24.6,0.0,,,,,,
21.0,18.1,23.3,0.0,,,,,,
19.2,17.4,20.7,2.6,,,,,,
18.9,17.6,20.8,2.6,,,,,,
21.1,18.6,24.7,0.6,,,,,,
21.9,18.4,25.9,0.0,,,,,,
21.8,18.5,24.7,5.9,,,,,,
22.5,19.9,25.6,0.0,,,,,,
22.2,19.5,25.9,0.0,,,,,,
22.2,19.5,26.5,0.0,,,,,,
20.9,17.2,23.8,0.0,,,,,,
17.0,15.0,18.6,0.0,,,,,,
19.8,15.9,24.2,0.0,,,,,,
20.1,17.7,22.5,0.0,,,,,,
21.1,17.1,25.7,0.0,,,,,,
21.2,16.9,25.2,0.0,,,,,,
21.5,20.1,24.3,0.0,,,,,,
21.5,18.0,26.1,0.0,,,,,,
21.7,18.0,26.1,0.0,,,,,,
23.0,20.6,26.4,0.0,,,,,,
22.6,20.7,26.0,0.0,,,,,,
20.3,17.9,22.8,3.6,,,,,,
20.5,16.6,23.7,0.0,,,,,,
23.2,21.3,28.5,0.0,,,,,,
20.1,17.9,23.5,35.8,,,,,,
19.9,16.9,23.0,0.0,,,,,,
20.0,15.6,23.3,0.0,,,,,,
21.1,18.8,25.5,0.0,,,,,,
18.7,15.8,21.4,0.0,,,,,,
19.7,13.9,24.7,0.0,,,,,,
22.2,18.7,27.2,0.0,,,,,,
23.0,19.9,27.1,0.0,,,,,,
22.5,20.7,26.2,0.0,,,,,,
20.8,19.4,22.5,0.0,,,,,,
19.7,15.1,23.8,0.0,,,,,,
19.6,16.9,23.8,0.0,,,,,,
19.4,15.5,23.7,0.0,,,,,,
20.3,18.6,23.1,0.0,,,,,,
17.9,15.7,19.8,0.0,,,,,,
15.3,11.6,19.3,0.0,,,,,,
15.1,14.0,16.8,5.7,,,,,,
15.5,13.1,18.5,0.0,,,,,,
17.8,14.0,22.3,0.0,,,,,,
15.2,8.4,19.0,14.7,,,,,,
10.9,7.5,14.3,0.8,,,,,,
12.8,10.8,15.5,0.0,,,,,,
16.2,10.8,21.4,0.0,,,,,,
15.2,10.1,19.7,0.0,,,,,,
15.9,12.1,19.7,0.0,,,,,,
17.3,15.2,20.6,0.0,,,,,,
17.5,15.1,20.5,0.0,,,,,,
17.4,14.8,21.5,0.0,,,,,,
13.8,12.4,15.6,0.0,,,,,,
9.6,8.3,12.6,0.0,,,,,,
11.6,6.3,15.7,0.0,,,,,,
14.8,13.2,16.3,0.9,,,,,,
13.2,11.3,16.2,3.4,,,,,,
12.2,9.0,15.6,0.0,,,,,,
12.8,9.3,17.3,0.0,,,,,,
14.8,11.5,17.4,0.0,,,,,,
16.4,13.8,18.8,0.0,,,,,,
14.5,12.2,17.0,4.9,,,,,,
11.4,9.4,12.9,1.1,,,,,,
6.3,4.9,9.4,0.0,,,,,,
6.8,1.4,10.1,0.0,,,,,,
13.0,10.1,16.1,0.0,,,,,,
14.8,13.4,17.7,0.0,,,,,,
15.8,12.2,21.4,0.0,,,,,,
5.0,2.8,16.1,0.0,,,,,,
3.0,1.6,4.7,0.0,,,,,,
5.0,2.4,8.0,0.0,,,,,,
9.7,3.5,15.1,0.0,,,,,,
11.8,9.0,15.6,0.0,,,,,,
13.2,10.7,14.3,2.2,,,,,,
10.7,5.1,14.2,0.0,,,,,,
-1.3,-5.5,5.5,0.0,,,,,,
5.5,-0.5,10.2,0.0,,,,,,
7.9,4.6,12.1,0.0,,,,,,
10.2,8.6,14.4,0.0,,,,,,
12.2,8.5,16.2,0.0,,,,,,
5.0,-2.7,12.7,0.0,,,,,,
-3.2,-4.9,-1.0,0.0,,,,,,
0.0,-2.4,2.7,0.0,,,,,,
1.8,-0.1,4.2,0.0,,,,,,
2.0,-0.6,3.8,0.0,,,,,,
3.9,-1.3,6.4,0.0,,,,,,
5.1,3.6,7.0,1.8,,,,,,
6.0,3.2,9.6,0.0,,,,,,
7.1,3.7,10.6,0.0,,,,,,
8.8,7.0,11.4,0.0,,,,,,
3.0,2.1,7.7,0.0,,,,,,
6.1,1.5,9.5,0.0,,,,,,
6.4,3.1,8.5,0.0,,,,,,
5.2,1.4,8.8,0.0,,,,,,
7.4,4.0,10.6,0.0,,,,,,
7.0,0.1,10.0,5.9,,,,,,
-2.4,-5.7,0.3,0.6,,,,,,
-0.2,-1.7,2.1,0.0,,,,,,
-0.8,-2.7,1.2,0.0,,,,,,
-6.0,-8.0,0.1,0.9,,,,,,
-4.4,-7.1,-1.4,0.0,,,,,,
0.2,-4.8,3.9,0.0,,,,,,
5.7,4.0,7.7,0.0,,,,,,
2.9,0.8,6.0,1.9,,,,,,
-5.4,-7.5,0.9,1.0,,,,,,
-2.7,-5.5,0.2,0.0,,,,,,
0.0,-4.2,4.4,0.0,,,,,,
3.4,1.4,4.9,0.0,,,,,,
3.8,0.2,7.1,0.0,,,,,,
5.2,3.2,9.3,0.0,,,,,,
3.0,-0.5,5.6,0.0,,,,,,
5.0,3.0,7.8,0.0,,,,,,
5.9,3.9,8.5,0.0,,,,,,
5.4,2.1,10.8,0.0,,,,,,
6.0,4.5,7.4,0.0,,,,,,
2.0,-2.5,6.5,0.0,,,,,,
-4.7,-6.0,-2.4,0.0,,,,,,
-3.6,-6.5,-0.4,0.0,,,,,,
-0.7,-2.0,2.6,0.0,,,,,,
3.9,-2.5,7.9,0.0,,,,,,
3.8,0.2,7.4,0.0,,,,,,
-0.2,-2.8,5.8,0.0,,,,,,
1.5,-4.7,5.3,0.0,,,,,,
6.0,4.5,10.6,0.0,,,,,,
-0.2,-2.7,4.8,0.0,,,,,,
3.6,-0.2,6.1,0.0,,,,,,
2.4,0.2,5.7,0.0,,,,,,
4.1,-0.3,6.9,0.0,,,,,,
3.2,1.8,5.5,0.0,,,,,,
3.8,2.9,4.4,0.1,,,,,,
2.2,-0.8,3.8,0.0,,,,,,
-8.8,-12.1,-0.8,3.4,,,,,,
-6.5,-10.4,-3.4,0.0,,,,,,
-5.5,-6.9,-3.1,0.0,,,,,,
-6.5,-8.2,-3.1,1.6,,,,,,
-12.0,-13.1,-7.9,0.8,,,,,,
-13.1,-14.0,-11.6,0.0,,,,,,
-12.2,-13.9,-10.5,0.0,,,,,,
-7.1,-11.0,-2.5,0.0,,,,,,
-3.7,-5.1,-0.7,0.0,,,,,,
-6.1,-8.1,-3.7,0.0,,,,,,
-3.8,-7.5,0.4,0.0,,,,,,
0.2,-3.2,3.6,0.0,,,,,,
-0.3,-4.3,3.1,0.7,,,,,,
-6.9,-9.2,-4.1,0.0,,,,,,
-2.3,-6.3,0.3,0.0,,,,,,
-0.2,-2.2,2.2,0.0,,,,,,
-0.3,-3.1,1.4,0.0,,,,,,
-3.0,-5.9,-0.1,0.0,,,,,,
-0.3,-4.2,4.8,0.0,,,,,,
-5.9,-7.5,-2.7,0.0,,,,,,
-13.1,-16.2,-7.2,0.0,,,,,,
-6.2,-12.4,-0.3,0.0,,,,,,
-5.8,-7.6,-3.0,0.0,,,,,,
-3.8,-7.1,-1.4,0.0,,,,,,
0.9,-3.2,5.2,0.0,,,,,,
0.0,-3.4,5.1,0.0,,,,,,
-1.2,-3.6,1.5,0.0,,,,,,
-4.9,-6.9,-2.4,0.0,,,,,,
-2.4,-5.4,0.5,0.0,,,,,,
-1.6,-5.1,1.4,0.0,,,,,,
-3.5,-6.2,2.0,0.0,,,,,,
-6.7,-8.6,-3.5,0.0,,,,,,
-7.5,-9.4,-4.9,0.0,,,,,,
-6.3,-8.5,-3.0,0.0,,,,,,
-3.6,-6.9,0.5,0.0,,,,,,
-1.8,-5.0,1.3,0.0,,,,,,
-5.5,-7.4,-3.1,0.0,,,,,,
-1.3,-5.6,2.4,0.0,,,,,,
1.8,-1.3,6.6,0.0,,,,,,
-2.4,-4.0,0.5,0.0,,,,,,
-5.5,-7.4,-2.8,0.0,,,,,,
-4.1,-5.4,-2.7,0.0,,,,,,
-2.2,-5.5,2.2,0.0,,,,,,
-0.3,-3.8,5.6,0.0,,,,,,
1.6,-2.2,6.1,0.0,,,,,,
0.7,-2.7,4.0,0.0,,,,,,
-5.6,-7.6,-2.3,0.0,,,,,,
-2.4,-7.0,1.8,0.0,,,,,,
-2.2,-4.5,0.4,0.0,,,,,,
4.0,-1.4,9.7,0.0,,,,,,
4.6,2.1,7.4,0.0,,,,,,
-1.4,-3.6,2.4,0.0,,,,,,
-1.1,-4.2,2.8,0.0,,,,,,
2.4,-0.4,5.5,0.0,,,,,,
3.1,0.8,5.0,0.0,,,,,,
1.2,-0.3,3.9,7.4,,,,,,
1.5,-2.4,8.0,0.0,,,,,,
3.2,1.6,5.4,0.0,,,,,,
2.3,0.9,3.9,12.6,,,,,,
-0.7,-2.7,2.4,0.0,,,,,,
-0.1,-2.2,3.5,0.0,,,,,,
4.0,-0.1,8.6,0.0,,,,,,
6.8,3.0,11.9,0.0,,,,,,
5.1,2.1,12.6,0.0,,,,,,
6.0,4.0,10.3,0.0,,,,,,
4.5,0.2,8.4,0.0,,,,,,
3.2,1.9,4.8,0.0,,,,,,
3.2,1.2,6.3,0.0,,,,,,
4.8,3.3,8.7,0.6,,,,,,
4.2,1.4,7.9,0.0,,,,,,
5.6,2.3,10.7,0.0,,,,,,
6.0,2.9,9.1,0.4,,,,,,
3.7,1.9,6.3,3.7,,,,,,
2.8,1.0,5.1,0.0,,,,,,
2.9,0.4,6.8,0.0,,,,,,
3.7,0.4,7.4,0.0,,,,,,
5.5,2.6,9.3,0.0,,,,,,
5.6,1.8,9.9,0.0,,,,,,
5.9,2.8,11.5,0.0,,,,,,
6.7,4.1,9.3,0.0,,,,,,
5.6,2.0,10.3,0.0,,,,,,
1.9,-0.1,5.4,0.0,,,,,,
4.6,-0.1,10.5,0.0,,,,,,
5.9,3.3,9.7,0.0,,,,,,
7.7,3.3,12.8,0.0,,,,,,
12.8,6.5,19.0,0.0,,,,,,
11.3,8.3,14.7,0.0,,,,,,
6.4,3.9,11.9,0.0,,,,,,
1.4,-1.4,4.3,0.0,,,,,,
5.6,1.4,10.3,0.0,,,,,,
5.3,4.2,6.8,0.4,,,,,,
4.5,3.3,5.8,2.2,,,,,,
7.2,2.6,11.9,0.0,,,,,,
9.0,5.3,14.1,0.0,,,,,,
9.9,5.2,14.5,0.0,,,,,,
11.4,6.3,16.9,0.0,,,,,,
13.6,9.0,18.4,0.0,,,,,,
9.5,7.1,12.8,0.0,,,,,,
9.6,6.8,12.6,0.0,,,,,,
13.7,9.0,19.1,0.0,,,,,,
12.6,10.0,15.4,0.0,,,,,,
16.1,11.5,21.5,0.0,,,,,,
16.7,12.5,20.2,0.0,,,,,,
13.7,10.6,17.2,0.0,,,,,,
14.1,9.1,19.6,0.0,,,,,,
8.6,6.4,14.7,0.2,,,,,,
11.6,7.1,18.4,0.0,,,,,,
14.0,9.5,20.3,0.0,,,,,,
13.3,10.5,16.9,0.0,,,,,,
11.1,9.5,13.9,0.1,,,,,,
11.6,7.2,16.2,0.0,,,,,,
12.4,7.5,16.9,0.0,,,,,,
12.6,8.0,17.2,0.0,,,,,,
14.7,9.7,20.0,0.0,,,,,,
14.0,9.5,18.8,0.0,,,,,,
15.9,12.5,20.2,0.0,,,,,,
14.4,11.0,18.3,0.0,,,,,,
14.2,11.0,20.7,0.0,,,,,,
13.9,8.5,19.5,0.0,,,,,,
16.3,11.2,21.7,0.0,,,,,,
15.5,11.2,21.2,0.0,,,,,,
12.8,10.8,18.0,0.0,,,,,,
12.6,9.2,17.8,0.0,,,,,,
17.4,13.0,20.9,0.0,,,,,,
16.5,13.5,20.1,0.0,,,,,,
16.7,13.4,19.2,0.0,,,,,,
12.1,8.8,17.5,8.5,,,,,,
14.4,8.7,19.9,0.0,,,,,,
20.0,13.5,24.3,0.0,,,,,,
15.7,13.3,20.8,0.0,,,,,,
11.9,10.5,13.3,0.2,,,,,,
13.6,11.9,14.8,12.7,,,,,,
12.1,10.6,14.0,23.2,,,,,,
15.0,13.3,17.0,2.1,,,,,,
18.2,13.2,25.1,0.0,,,,,,
19.0,15.5,23.6,0.0,,,,,,
20.0,14.7,25.1,0.0,,,,,,
14.7,13.2,19.8,1.0,,,,,,
15.2,12.5,18.0,0.0,,,,,,
16.1,12.9,19.8,0.0,,,,,,
16.7,12.8,20.8,0.0,,,,,,
19.7,15.1,23.8,0.0,,,,,,
17.9,15.1,21.3,0.0,,,,,,
17.8,12.4,22.2,0.0,,,,,,
18.5,14.6,23.4,0.0,,,,,,
17.8,15.1,21.7,0.2,,,,,,
15.7,14.2,19.3,0.0,,,,,,
14.9,14.0,17.4,17.6,,,,,,
16.8,13.5,21.7,1.3,,,,,,
17.2,13.9,21.3,0.0,,,,,,
16.1,14.0,18.9,0.2,,,,,,
13.1,11.2,15.2,11.5,,,,,,
16.5,12.5,20.0,0.0,,,,,,
13.5,11.7,17.0,21.5,,,,,,
14.8,11.6,18.3,17.7,,,,,,
16.0,12.8,19.6,17.1,,,,,,
19.3,14.5,23.8,0.0,,,,,,
18.3,15.5,21.3,0.0,,,,,,
19.5,16.0,25.4,0.2,,,,,,
22.6,18.2,27.3,0.0,,,,,,
22.3,18.4,27.3,0.0,,,,,,
23.0,17.9,27.4,0.0,,,,,,
22.8,17.4,27.7,0.0,,,,,,
23.4,21.9,27.6,0.0,,,,,,
25.1,19.8,29.5,0.0,,,,,,
26.2,21.0,30.3,0.0,,,,,,
26.2,22.4,31.2,0.0,,,,,,
27.3,23.0,31.8,0.0,,,,,,
24.5,22.6,27.5,0.0,,,,,,
24.2,22.1,29.3,0.0,,,,,,
23.4,20.2,27.4,0.0,,,,,,
23.3,21.2,27.7,0.8,,,,,,
21.6,20.0,25.4,0.0,,,,,,
21.6,18.9,25.7,0.0,,,,,,
22.2,20.9,25.1,0.0,,,,,,
22.9,20.8,27.1,0.0,,,,,,
26.5,21.4,30.9,0.0,,,,,,
25.9,22.4,29.6,0.0,,,,,,
26.8,21.4,32.2,0.0,,,,,,
25.6,23.6,29.3,0.0,,,,,,
22.2,21.8,25.3,0.0,,,,,,
23.6,20.4,28.6,0.0,,,,,,
24.6,21.4,27.3,0.0,,,,,,
24.9,21.6,28.9,0.3,,,,,,
23.6,21.8,27.0,40.5,,,,,,
25.1,21.6,30.8,0.0,,,,,,
24.5,21.8,27.6,0.0,,,,,,
24.5,22.3,28.2,0.0,,,,,,
23.0,20.6,26.5,0.0,,,,,,
24.5,21.4,27.9,0.0,,,,,,
24.6,22.2,27.9,0.0,,,,,,
24.8,21.8,29.6,0.0,,,,,,
25.9,22.8,30.0,0.0,,,,,,
26.8,24.2,30.3,0.0,,,,,,
26.2,24.3,28.4,0.0,,,,,,
23.8,23.1,25.3,0.0,,,,,,
26.4,22.9,30.7,0.0,,,,,,
27.4,25.4,31.8,0.0,,,,,,
25.7,22.4,28.6,0.0,,,,,,
24.9,23.6,27.2,0.0,,,,,,
24.6,23.8,26.4,20.5,,,,,,
25.9,24.3,28.7,0.0,,,,,,
26.4,24.8,30.3,0.0,,,,,,
26.6,24.5,30.2,0.0,,,,,,
27.0,24.0,32.9,0.0,,,,,,
28.6,25.0,32.8,0.0,,,,,,
28.2,24.9,31.5,0.0,,,,,,
28.9,25.3,32.5,0.0,,,,,,
29.5,26.0,34.0,0.0,,,,,,
29.2,27.2,32.8,0.0,,,,,,
29.1,27.1,32.2,0.0,,,,,,
28.7,26.0,31.0,0.0,,,,,,
28.2,26.2,30.9,0.0,,,,,,
26.5,23.9,28.7,15.6,,,,,,
26.0,23.5,29.2,20.9,,,,,,
26.3,23.9,30.5,0.0,,,,,,
27.1,23.1,30.9,0.0,,,,,,
28.1,25.2,32.3,0.0,,,,,,
27.0,25.9,29.2,0.0,,,,,,
25.5,22.9,27.2,0.4,,,,,,
25.9,24.4,28.0,3.0,,,,,,
26.3,22.4,30.6,0.0,,,,,,
26.7,24.6,30.2,0.0,,,,,,
26.5,24.4,30.0,0.0,,,,,,
26.5,24.8,29.8,0.0,,,,,,
26.8,24.4,30.3,0.0,,,,,,
25.8,23.6,28.3,20.1,,,,,,
24.8,23.0,28.8,4.1,,,,,,
25.2,23.0,28.3,1.7,,,,,,
25.9,23.8,29.6,0.0,,,,,,
24.2,22.6,26.1,2.0,,,,,,
22.8,20.1,25.1,172.8,,,,,,
23.0,19.0,26.0,3.4,,,,,,
26.2,22.7,30.2,0.0,,,,,,
25.7,23.5,29.3,0.0,,,,,,
25.7,23.4,28.8,0.0,,,,,,
24.5,21.2,28.3,0.0,,,,,,
25.5,23.3,29.3,0.0,,,,,,
25.5,23.5,27.8,0.0,,,,,,
25.2,23.7,28.5,0.0,,,,,,
24.0,23.0,25.7,0.0,,,,,,
26.1,24.1,28.4,0.0,,,,,,
27.6,25.2,30.8,0.0,,,,,,
22.1,19.2,27.7,10.6,,,,,,
20.3,18.1,22.7,0.0,,,,,,
21.7,18.8,25.3,0.0,,,,,,
22.6,18.4,26.2,0.0,,,,,,
23.1,21.2,25.3,0.0,,,,,,
22.6,20.9,25.7,0.0,,,,,,
22.9,20.9,25.9,0.0,,,,,,
24.2,22.5,26.8,0.0,,,,,,
