varietal,state,region,vintage,vintage_rating
pinot noir,CA,sonoma,2016,95
pinot noir,CA,sonoma,2017,90
pinot noir,CA,sonoma,2018,92
pinot noir,CA,sonoma,2019,91
pinot noir,CA,sonoma,2020,90
zinfadel,CA,sonoma,1996,90
zinfadel,CA,sonoma,1997,88
zinfadel,CA,sonoma,1998,86
zinfadel,CA,sonoma,1999,90
zinfadel,CA,sonoma,2000,86
zinfadel,CA,sonoma,2001,91
zinfadel,CA,sonoma,2002,88
zinfadel,CA,sonoma,2003,89
zinfadel,CA,sonoma,2004,90
zinfadel,CA,sonoma,2005,90
zinfadel,CA,sonoma,2006,86
zinfadel,CA,sonoma,2007,93
zinfadel,CA,sonoma,2008,88
zinfadel,CA,sonoma,2009,89
zinfadel,CA,sonoma,2010,89
zinfadel,CA,sonoma,2011,89
zinfadel,CA,sonoma,2012,92
zinfadel,CA,sonoma,2013,93
zinfadel,CA,sonoma,2014,93
zinfadel,CA,sonoma,2015,93
zinfadel,CA,sonoma,2016,93
zinfadel,CA,sonoma,2017,89
zinfadel,CA,sonoma,2018,92
zinfadel,CA,sonoma,2019,91
zinfadel,CA,sonoma,2020,90
chardonnay,CA,carneros,1996,90
chardonnay,CA,carneros,1997,91
chardonnay,CA,carneros,1998,85
chardonnay,CA,carneros,1999,89
chardonnay,CA,carneros,2000,89
chardonnay,CA,carneros,2001,93
chardonnay,CA,carneros,2002,95
chardonnay,CA,carneros,2003,91
chardonnay,CA,carneros,2004,92
chardonnay,CA,carneros,2005,87
chardonnay,CA,carneros,2006,85
chardonnay,CA,carneros,2007,91
chardonnay,CA,carneros,2008,89
chardonnay,CA,carneros,2009,87
chardonnay,CA,carneros,2010,88
chardonnay,CA,carneros,2011,88
chardonnay,CA,carneros,2012,92
chardonnay,CA,carneros,2013,93
chardonnay,CA,carneros,2014,94
chardonnay,CA,carneros,2015,90
chardonnay,CA,carneros,2016,92
chardonnay,CA,carneros,2017,92
chardonnay,CA,carneros,2018,92
chardonnay,CA,carneros,2019,91
chardonnay,CA,carneros,2020,90
pinot noir,CA,carneros,1996,86
pinot noir,CA,carneros,1997,85
pinot noir,CA,carneros,1998,83
pinot noir,CA,carneros,1999,87
pinot noir,CA,carneros,2000,85
pinot noir,CA,carneros,2001,87
pinot noir,CA,carneros,2002,85
pinot noir,CA,carneros,2003,89
pinot noir,CA,carneros,2004,89
pinot noir,CA,carneros,2005,93
pinot noir,CA,carneros,2006,86
pinot noir,CA,carneros,2007,94
pinot noir,CA,carneros,2008,90
pinot noir,CA,carneros,2009,89
pinot noir,CA,carneros,2010,90
pinot noir,CA,carneros,2011,87
pinot noir,CA,carneros,2012,93
pinot noir,CA,carneros,2013,94
pinot noir,CA,carneros,2014,93
pinot noir,CA,carneros,2015,91
pinot noir,CA,carneros,2016,92
pinot noir,CA,carneros,2017,91
pinot noir,CA,carneros,2018,91
pinot noir,CA,carneros,2019,90
pinot noir,CA,carneros,2020,91
pinot noir,CA,anderson valley,2002,87
pinot noir,CA,anderson valley,2003,90
pinot noir,CA,anderson valley,2004,90
pinot noir,CA,anderson valley,2005,94
pinot noir,CA,anderson valley,2006,88
pinot noir,CA,anderson valley,2007,95
pinot noir,CA,anderson valley,2008,92
